run,window_ns,nGen,coinCount,eff_percent
1,8,20000,19454,97.27
2,8,20000,19435,97.175
3,8,20000,19387,96.935
4,8,20000,19307,96.535
5,8,20000,19288,96.44
6,8,20000,18997,94.985
7,8,20000,18583,92.915
8,8,20000,18074,90.37
9,8,20000,17689,88.445
10,8,20000,16844,84.22
11,8,20000,16107,80.535
12,8,20000,15297,76.485
