run,window_ns,nGen,coinCount,eff_percent
1,8,20000,19664,98.32
2,8,20000,19570,97.85
3,8,20000,19511,97.555
4,8,20000,19521,97.605
5,8,20000,19448,97.24
6,8,20000,19184,95.92
7,8,20000,18730,93.65
8,8,20000,18277,91.385
9,8,20000,17901,89.505
10,8,20000,17005,85.025
11,8,20000,16183,80.915
12,8,20000,15304,76.52
