z[mm],hR[mm^-2],Layer
-19.9349822517197,0.470812876670195,0
20.4414662426997,0.471808736843564,0
60.8605959723141,0.524975626887244,0
101.271189454889,0.572033153117068,0
143.562602701722,0.627734947664976,0
182.078149341642,0.65589372979829,0
223.399275841709,0.666550719775767,0
262.83673716184,0.667927781460338,0
304.166399908947,0.693138996635868,0
344.554230066085,0.714265133370657,0
384.933523976184,0.720787862653576,0
427.1993284819,0.742829706929767,0
466.63678980203,0.744364357328042,0
507.021774543489,0.761718176602568,0
548.342901043556,0.774094606815145,0
588.719349537975,0.775731966427735,0
630.985154043691,0.799454012940998,0
669.483628189533,0.801066282195237,0
710.804754689601,0.814082042146585,0
751.189739431059,0.833061232236719,0
792.522247593845,0.87055881571085,0
833.831992431194,0.860352390100372,0
872.333311992716,0.868123879545106,0
913.662974739822,0.900891580685452,0
952.167139717023,0.915394352943324,0
997.247060329926,0.93696567616643,0
1035.75691613849,0.965428505574056,0
1074.25823570001,0.974149138569379,0
1115.57367136872,0.97625762290034,0
1158.767081386,0.978466827144002,0
1199.1463752961,0.987402268519473,0
-22.3365130853554,0.130382106809446,1
19.9093735106027,0.127963826735071,1
58.4562197229988,0.144370491600291,1
100.76186004823,0.164053455198748,1
140.233466356516,0.178750020385505,1
181.563129103623,0.185497015123044,1
222.898482682089,0.195203898428035,1
265.167132603484,0.202581906060324,1
302.735155822076,0.20727426357929,1
344.998114912112,0.212127420890486,1
383.510816136352,0.220101810787067,1
425.765238979349,0.22058904643363,1
466.153069136487,0.22731236510387,1
506.546590124985,0.237532430951666,1
550.6732964852,0.234782210401202,1
586.357654523855,0.236868057337588,1
628.620613613891,0.242414129119032,1
669.011289186709,0.251551791227082,1
711.260021198347,0.248614816025402,1
749.769877006907,0.256167153615495,1
791.096694338334,0.263987826685561,1
830.539846489824,0.268250748205613,1
872.799960164181,0.272622694047315,1
914.123932079928,0.278992221775885,1
951.694800714199,0.287453228627999,1
992.065558377259,0.28406916983769,1
1036.20364640019,0.288727297938175,1
1073.77736045014,0.299566544400417,1
1114.15665436024,0.302302211283837,1
1157.35575520889,0.307244224431226,1
1196.80175277606,0.314391746874842,1
-22.88852372721,0.033676477660145,2
19.3687445314667,0.033987354104102,2
56.9623764911756,0.037028438099534,2
101.131764086586,0.040638080148282,2
141.536666737802,0.043667115621432,2
180.99689138337,0.046269387832488,2
223.276922967484,0.049377305922719,2
260.842100770396,0.050169728498976,2
304.046892450401,0.051706470057548,2
343.501426264609,0.054028561180865,2
383.886411006068,0.055288161908875,2
426.140833849065,0.055410552375444,2
468.40948377046,0.057504872630458,2
505.035674399084,0.058424857974655,2
547.301478904799,0.060211502406479,2
587.692154477617,0.062481140591381,2
628.065757556357,0.062177925450544,2
670.340098309112,0.065434852760885,2
710.713701387851,0.065117303530705,2
-21.1727380723732,0.022627594287062,3
17.3285814891483,0.02283198740805,3
59.6086130732624,0.024365613635358,3
100.013515724478,0.026181750316946,3
139.465204123007,0.027167321441122,3
180.800557701473,0.028588961669474,3
219.316104341393,0.029871398382712,3
260.651457919859,0.031434540399124,3
302.914417009895,0.032170554446058,3
344.249770588361,0.033854009124062,3
382.753935565562,0.034398999214844,3
425.022585486957,0.035699158078442,3
468.213150088563,0.035531150863548,3
508.600980245702,0.03661410241458,3
545.227170874325,0.037199869082195,3
583.737026682885,0.038329914242445,3
625.997140357242,0.038954614491395,3
667.321112272989,0.039864745975591,3
709.575535115986,0.039952993887823,3
-22.2653776933638,0.015523054665289,4
16.2217147897593,0.015126229362104,4
59.4321973011232,0.015808641687111,4
99.8342545366596,0.016868851375444,4
141.172453530805,0.017875880412491,4
180.624141929334,0.01854879002856,4
221.948113845081,0.01898216199281,4
263.277776592188,0.01969865168493,4
303.668452165006,0.020441181106525,4
344.056282322144,0.021064206486965,4
386.322086827859,0.021708354346889,4
424.83194263642,0.022367803462489,4
466.150223720808,0.022573177312126,4
507.477041052235,0.023262326710943,4
545.978360613756,0.023472453315546,4
590.122139468049,0.024192623335328,4
627.690162686641,0.024752991436402,4
669.011289186709,0.025155179122708,4
710.329570271097,0.025386145743253,4
