z[mm],hR[mm^-2],Layer
1279.61948984519,0.098523571289153,0
1365.42946077273,0.10140061432255,0
1472.75099390814,0.103107362624945,0
1590.79748929045,0.10434525338237,0
1722.85629166966,0.106043372404795,0
1800.01643672375,0.108225758400707,0
1879.00516729503,0.110174948378414,0
1968.65722239915,0.111887860452215,0
2056.85051827045,0.112438490697842,0
2166.00063692305,0.113912042982033,0
2266.50092970219,0.114690938228738,0
2368.98390228368,0.114655188354581,0
2476.79853713159,0.114501299528471,0
2593.29381670998,0.114925777919316,0
2715.30567169699,0.114534378435018,0
2838.8687424879,0.114956391317301,0
2971.35900886556,0.115026452852285,0
811.131771159714,0.039617229795671,1
886.863975838016,0.040521044142876,1
976.855038369477,0.04095476819083,1
1072.05448773923,0.041735512568957,1
1174.29090946447,0.042630081259053,1
1296.17948902335,0.042703841056881,1
1382.60583709152,0.043255087679648,1
1474.33302856908,0.043804485170993,1
1587.26359368419,0.044346486136651,1
1675.45688955549,0.044897116382277,1
1768.92020997915,0.045562187317013,1
1862.3835304028,0.046227258251749,1
1968.09221002024,0.047353173828627,1
2079.040095333,0.048709819915145,1
2237.69557133024,0.050049823818867,1
2399.6383920775,0.05231891353256,1
2584.27416455215,0.055626598728209,1
2777.4056686151,0.060210390064001,1
2986.31642747809,0.065253793287653,1
820.531522554267,0.024148834533557,2
935.136578901411,0.025039088583668,2
1078.16689438378,0.025338031496872,2
1252.94063260841,0.025858459262608,2
1343.05497056799,0.025827024028436,2
1440.11382431197,0.026258282567827,2
1544.36374469659,0.02622191631653,2
1660.92066198905,0.026413815066312,2
1786.34313715419,0.026486342109859,2
1925.80873817326,0.026902807597876,2
2068.74659708454,0.027550619972674,2
2225.72758184975,0.028542370791942,2
2396.6592358978,0.030226929517274,2
2581.60319694277,0.032371716507607,2
2782.38805050183,0.034743535744738,2
2991.88436764842,0.037577432378291,2
816.86407856754,0.017987323176808,3
912.155984508388,0.01841919809334,3
1021.58347287427,0.018846141992747,3
1143.47205243315,0.018919901790576,3
1290.1595389499,0.018752452667372,3
1450.89015132059,0.018928941988638,3
1639.92274739837,0.018979279455123,3
1850.09707939965,0.019254800036983,3
1963.12010108585,0.019447931541046,3
2086.7139907338,0.019753654602796,3
2213.74931941691,0.02040701437186,3
2349.65020597269,0.02094100243469,3
2499.71749381055,0.021353769659863,3
2653.13376411247,0.022463043053943,3
2820.77807341052,0.023218515969304,3
2996.9489331539,0.025133805204278,3
