z[mm],hR[mm^-2],Layer
24.9416266367685,0.005066797642436,0
121.079212911056,0.00511394891945,0
220.753144961376,0.005066797642436,0
324.442752959812,0.005060903732809,0
425.188491961448,0.005007858546169,0
514.317160225882,0.004978388998035,0
619.152634773038,0.004948919449902,0
723.039735031218,0.004895874263261,0
813.264896779436,0.004854616895874,0
922.362912599389,0.004807465618861,0
1003.96424567214,0.004825147347741,0
1121.31579218054,0.004807465618861,0
1214.63294212037,0.004777996070727,0
1294.28815355023,0.004760314341847,0
35.2708832635596,0.00285068762279,1
132.603709151503,0.002862475442043,1
229.936535039447,0.002874263261297,1
333.55208344048,0.00288605108055,1
432.929777101184,0.002909626719057,1
528.094302554028,0.002939096267191,1
624.528127217931,0.002915520628684,1
725.950688651395,0.002950884086444,1
818.971600201606,0.002992141453831,1
929.141422972876,0.002939096267191,1
1011.76518993201,0.002962671905697,1
1128.9686172456,0.002980353634578,1
1212.73825075345,0.002980353634578,1
1310.16982277127,0.002968565815324,1
41.8375009000299,0.001282907662083,2
140.217447206822,0.001294695481336,2
238.622080046082,0.001300589390963,2
337.975087174318,0.001330058939096,2
438.39990125387,0.001353634577603,2
534.63623365803,0.00137721021611,2
631.919686481038,0.001400785854617,2
730.200886657958,0.001436149312377,2
825.390098643269,0.001459724950884,2
926.886719674138,0.001477406679764,2
1018.8605108055,0.001518664047151,2
1127.71166130077,0.001530451866405,2
1213.57553564632,0.001530451866405,2
1323.52317962538,0.001530451866405,2
43.0615414682315,0.000740667976424,3
143.609788210123,0.000734774066798,3
240.967300630535,0.000740667976424,3
340.369680823707,0.000758349705305,3
439.698001419476,0.000793713163065,3
535.959020356103,0.000811394891945,3
633.316532776515,0.000817288801572,3
730.525926002119,0.000858546168959,3
826.786944938746,0.000876227897839,3
924.193830424094,0.000870333988212,3
1022.49971713348,0.000899803536346,3
1124.9693989858,0.000935166994106,3
1216.01950236065,0.00094695481336,3
1320.68217118053,0.000958742632613,3
