run,window_ns,nGen,coinCount,eff_percent
1,8,20000,18602,93.01
2,8,20000,18525,92.625
3,8,20000,18576,92.88
4,8,20000,18529,92.645
5,8,20000,18529,92.645
6,8,20000,18372,91.86
7,8,20000,18034,90.17
8,8,20000,17850,89.25
9,8,20000,17580,87.9
10,8,20000,17018,85.09
11,8,20000,16702,83.51
12,8,20000,16163,80.815
