run,window_ns,nGen,coinCount,eff_percent
1,8,20000,18647,93.235
2,8,20000,18560,92.8
3,8,20000,18541,92.705
4,8,20000,18386,91.93
5,8,20000,18422,92.11
6,8,20000,18130,90.65
7,8,20000,17699,88.495
8,8,20000,17310,86.55
9,8,20000,16839,84.195
10,8,20000,16026,80.13
11,8,20000,15309,76.545
12,8,20000,14558,72.79
