run,window_ns,nGen,coinCount,eff_percent
1,8,20000,18855,94.275
2,8,20000,18903,94.515
3,8,20000,18754,93.77
4,8,20000,18695,93.475
5,8,20000,18674,93.37
6,8,20000,18420,92.1
7,8,20000,17827,89.135
8,8,20000,17304,86.52
9,8,20000,16972,84.86
10,8,20000,16010,80.05
11,8,20000,15026,75.13
12,8,20000,14343,71.715
