run,window_ns,nGen,coinCount,eff_percent
1,8,20000,19612,98.06
2,8,20000,19615,98.075
3,8,20000,19475,97.375
4,8,20000,19453,97.265
5,8,20000,19386,96.93
6,8,20000,19113,95.565
7,8,20000,18534,92.67
8,8,20000,18250,91.25
9,8,20000,17631,88.155
10,8,20000,16721,83.605
11,8,20000,15867,79.335
12,8,20000,14926,74.63
