run,window_ns,nGen,coinCount,eff_percent
1,8,20000,19432,97.16
2,8,20000,19365,96.825
3,8,20000,19368,96.84
4,8,20000,19396,96.98
5,8,20000,19407,97.035
6,8,20000,19169,95.845
7,8,20000,19022,95.11
8,8,20000,18692,93.46
9,8,20000,18412,92.06
10,8,20000,18028,90.14
11,8,20000,17520,87.6
12,8,20000,16983,84.915
